證券代號","證券名稱","暫停現股賣出後現款買進當沖註記","當日沖銷交易成交股數","當日沖銷交易買進成交金額","當日沖銷交易賣出成交金額",
"2614","東森","","250,000","5,190,950","5,218,200",
"2615","萬海","","20,563,000","1,697,027,500","1,698,771,100",
"2616","山隆","","1,000","14,250","14,250",
"2617","台航","","1,252,000","36,088,150","36,167,050",
"2618","長榮航","","10,124,000","388,502,550","389,413,200",
"2630","亞航","","1,987,000","112,960,500","112,946,100",
"2633","台灣高鐵","","257,000","7,033,850","7,033,800",
"2634","漢翔","","2,750,000","154,394,000","154,370,200",
"2636","台驊控股","","99,000","6,914,900","6,927,500",
"2637","慧洋-KY","","5,458,000","355,852,200","356,201,000",
"2642","宅配通","","83,000","2,536,500","2,552,850",
"2645","長榮航太","","373,000","57,509,500","57,611,500",
"2646","星宇航空","","1,762,000","43,889,750","43,945,600",
"2701","萬企","","20,000","222,050","223,000",
"2702","華園","","23,000","277,700","279,250",
"2704","國賓","","16,000","676,200","677,700",
"2705","六福","","26,000","442,650","441,900",
"2706","第一店","","8,000","104,500","105,100",
"2707","晶華","","119,000","22,648,500","22,815,500",
"2722","夏都","","85,000","2,351,500","2,410,350",
"2723","美食-KY","","27,000","1,913,100","1,917,600",
"2727","王品","","71,000","15,885,000","15,905,500",
"2731","雄獅","","553,000","90,701,000","90,840,000",
"2739","寒舍","","56,000","2,128,900","2,145,950",
"2748","雲品","","43,000","1,922,950","1,927,400",
"2753","八方雲集","","86,000","16,255,500","16,283,500",
"2762","世界健身-KY","","2,000","163,300","163,900",
"2801","彰銀","","2,595,000","52,803,200","53,005,650",
"2812","台中銀","","903,000","20,034,050","20,061,100",
"2816","旺旺保","","0","0","0",
"2820","華票","","100,000","1,690,350","1,688,550",
"2832","台產","Y","21,000","756,100","753,500",
"2834","臺企銀","","621,000","9,633,100","9,635,850",
"2836","高雄銀","","68,000","824,700","829,500",
"2838","聯邦銀","","519,000","10,124,600","10,171,050",
"2845","遠東銀","","1,796,000","22,859,550","22,884,050",
"2849","安泰銀","","10,000","131,400","131,900",
"2850","新產","","10,000","1,164,000","1,168,000",
"2851","中再保","","103,000","2,489,450","2,510,500",
"2852","第一保","","15,000","397,150","397,300",
"2855","統一證","","730,000","17,209,600","17,292,850",
"2880","華南金","","2,292,000","68,197,350","68,397,200",
"2881","富邦金","","1,492,000","133,656,400","133,973,200",
"2882","國泰金","","2,040,000","133,381,900","133,548,000",
"2883","凱基金","","5,789,000","91,294,200","91,397,150",
"2884","玉山金","","1,742,000","56,531,650","56,652,750",
"2885","元大金","","2,067,000","70,507,850","70,816,250",
"2886","兆豐金","","1,731,000","72,242,850","72,230,650",
"2887","台新新光金","","37,807,000","727,647,900","729,578,550",
"2887I","台新新光辛特","","17,000","157,080","156,910",
"2889","國票金","","340,000","5,259,800","5,271,200",
"2890","永豐金","","3,879,000","101,005,600","101,112,350",
"2891","中信金","","2,762,000","117,857,000","118,294,600",
"2892","第一金","","1,261,000","36,856,150","36,861,700",
"2897","王道銀行","","249,000","2,250,740","2,253,360",
"2901","欣欣","","4,000","101,700","101,850",
"2903","遠百","","413,000","8,953,900","9,033,300",
"2904","匯僑","","7,000","120,250","120,650",
"2905","三商","","254,000","3,177,950","3,205,600",
"2906","高林","","11,000","152,100","153,050",
"2908","特力","","105,000","2,104,750","2,105,300",
"2910","統領","","2,000","41,300","41,400",
"2912","統一超","","419,000","101,335,000","101,565,000",
"2913","農林","","178,000","2,501,000","2,501,250",
"2915","潤泰全","","375,000","19,726,700","19,847,100",
"2929","淘帝-KY","","26,000","230,030","229,490",
"2939","永邑-KY","","1,000","27,100","27,950",
"3002","歐格","","8,960,000","218,435,900","218,472,250",
"3003","健和興","","37,000","1,860,550","1,863,750",
"3004","豐達科","","96,000","11,615,500","11,621,000",
"3005","神基","","553,000","77,236,500","77,629,000",
"3006","晶豪科","","16,652,000","1,442,997,700","1,444,872,600",
